,code,rolling_period,C,penalty,sharpe
0,A,208,0.1,l1,-0.36858636857748966
1,A,104,0.1,l1,-0.3610662223790567
2,A,52,0.1,l1,-0.22956441960958351
3,A,52,0.5,l1,-0.11458945698234874
4,A,104,0.5,l1,-0.0887495861678774
5,A,52,1.0,l1,-0.0753025985174836
6,A,104,1.0,l1,-0.021384150952904354
7,A,104,0.5,l2,0.0176369442941305
8,A,104,50.0,l2,0.05692202055283967
9,A,104,10.0,l2,0.06232707991009008
10,A,104,0.1,l2,0.06522736448370252
11,A,104,5.0,l2,0.07142344924340593
12,A,312,0.1,l1,0.07814689740151826
13,A,104,1.0,l2,0.0859250568193514
14,A,104,10.0,l1,0.10003137216663223
15,A,104,50.0,l1,0.10161340300730369
16,A,104,5.0,l1,0.10293176435273121
17,A,52,0.1,l2,0.10899625440431245
18,A,52,5.0,l1,0.15922813546316192
19,A,52,10.0,l1,0.15949183118075144
20,A,52,50.0,l1,0.1612058565736783
21,A,52,5.0,l2,0.16199694711494633
22,A,52,0.5,l2,0.17201753377620274
23,A,416,0.1,l1,0.18797179180659324
24,A,52,50.0,l2,0.18836735896076148
25,A,52,10.0,l2,0.20036639950358645
26,A,52,1.0,l2,0.20959666334339677
27,A,208,10.0,l2,0.24137682755714665
28,A,208,0.1,l2,0.2466518141768652
29,A,208,50.0,l2,0.24823432601624162
30,A,208,0.5,l2,0.2568063949713926
31,A,624,0.1,l2,0.2612903354377862
32,A,624,0.5,l2,0.2743468751055719
33,A,208,5.0,l2,0.27487442358586534
34,A,624,1.0,l2,0.27790784507402316
35,A,624,5.0,l2,0.27790784507402316
36,A,624,10.0,l2,0.27790784507402316
37,A,624,50.0,l1,0.27790784507402316
38,A,624,50.0,l2,0.27790784507402316
39,A,208,1.0,l2,0.28186452759730823
40,A,624,0.1,l1,0.2901737327606667
41,A,208,5.0,l1,0.2936029976748741
42,A,208,10.0,l1,0.29927456469022246
43,A,208,50.0,l1,0.31022233397792687
44,A,624,10.0,l1,0.3149709007279935
45,A,624,5.0,l1,0.32222581915973003
46,A,624,1.0,l1,0.3566565343671668
47,A,208,1.0,l1,0.36919001072869384
48,A,624,0.5,l1,0.3846269273737136
49,A,312,0.1,l2,0.39320346071671486
50,A,312,5.0,l2,0.40613488715897067
51,A,312,50.0,l2,0.4118091339839584
52,A,312,1.0,l1,0.4140524842669346
53,A,312,10.0,l2,0.41708764473085236
54,A,208,0.5,l1,0.42051875076330764
55,A,312,50.0,l1,0.4300205840840249
56,A,312,1.0,l2,0.43266006377930194
57,A,312,0.5,l2,0.43384784133046794
58,A,312,5.0,l1,0.4417665454232766
59,A,312,0.5,l1,0.44427420348626306
60,A,312,10.0,l1,0.4471778490997865
61,A,416,5.0,l1,0.4892858993333643
62,A,416,0.5,l1,0.49931940056635266
63,A,416,10.0,l1,0.5024879983057112
64,A,416,0.1,l2,0.5035442108698146
65,A,416,10.0,l2,0.5075050676141257
66,A,416,50.0,l2,0.5075050676141257
67,A,416,1.0,l1,0.5138426357140884
68,A,416,1.0,l2,0.5218969831452586
69,A,416,5.0,l2,0.5233494491309304
70,A,416,50.0,l1,0.5233494491309304
71,A,416,0.5,l2,0.5347055478573933
72,LH,104,1.0,l1,0.19016265226243842
73,LH,52,10.0,l1,0.34480597153264353
74,LH,52,50.0,l1,0.36199382607372754
75,LH,52,50.0,l2,0.3857315433980214
76,LH,52,5.0,l2,0.3955547959226717
77,LH,104,5.0,l1,0.4021038830166083
78,LH,52,5.0,l1,0.4127465894952716
79,LH,104,10.0,l1,0.42011494263451693
80,LH,104,50.0,l1,0.42011494263451693
81,LH,104,50.0,l2,0.42011494263451693
82,LH,104,5.0,l2,0.4299398372235081
83,LH,104,0.1,l2,0.4340336886455717
84,LH,104,1.0,l2,0.4381276267665665
85,LH,52,1.0,l2,0.4430404681092646
86,LH,104,0.5,l1,0.46433093816530946
87,LH,52,0.5,l2,0.47497710667777604
88,LH,52,10.0,l2,0.47497710667777615
89,LH,208,50.0,l1,0.48398590363437066
90,LH,208,50.0,l2,0.48398590363437066
91,LH,104,0.5,l2,0.49217612501059754
92,LH,208,5.0,l2,0.49381421628593586
93,LH,52,1.0,l1,0.5093768783277741
94,LH,104,10.0,l2,0.5093768783277741
95,LH,312,1.0,l1,0.5224834163318692
96,LH,208,0.1,l2,0.5290370846881427
97,LH,208,1.0,l2,0.5323140201783826
98,LH,208,0.5,l2,0.5380488214121797
99,LH,208,10.0,l1,0.5454224473797895
100,LH,208,5.0,l1,0.572462135114206
101,LH,208,10.0,l2,0.5732815962406578
102,LH,52,0.1,l2,0.5790179528932289
103,LH,312,10.0,l1,0.6798530043647598
104,LH,312,50.0,l1,0.6798530043647598
105,LH,312,50.0,l2,0.6798530043647598
106,LH,312,5.0,l2,0.6896947818475452
107,LH,624,10.0,l1,0.6946159681314994
108,LH,624,50.0,l1,0.6946159681314994
109,LH,624,50.0,l2,0.6946159681314994
110,LH,624,1.0,l1,0.6987171096230844
111,LH,208,1.0,l1,0.7011778616181658
112,LH,624,5.0,l2,0.7044589429325103
113,LH,312,5.0,l1,0.7102010527214517
114,LH,624,5.0,l1,0.7249677633376975
115,LH,312,1.0,l2,0.7282495087795828
116,LH,312,0.5,l2,0.7339927881889968
117,LH,312,0.1,l2,0.7348132801469133
118,LH,624,0.1,l2,0.7348132801469135
119,LH,624,1.0,l2,0.7430185246384449
120,LH,624,0.5,l2,0.7487625496462276
121,LH,416,10.0,l1,0.7594308064322686
122,LH,416,50.0,l1,0.7594308064322686
123,LH,416,50.0,l2,0.7594308064322686
124,LH,416,1.0,l1,0.7635342552209246
125,LH,52,0.5,l1,0.7684585957942944
126,LH,312,10.0,l2,0.7692793407432449
127,LH,416,5.0,l2,0.7692793407432451
128,LH,624,10.0,l2,0.7840538106965038
129,LH,416,5.0,l1,0.7897999857822658
130,LH,416,0.1,l2,0.7996512947989188
131,LH,416,1.0,l2,0.8078614238306288
132,LH,416,0.1,l1,0.8086824722567892
133,LH,416,0.5,l2,0.8136088992386243
134,LH,416,10.0,l2,0.8489219201309498
135,LH,624,0.5,l1,0.9236963088605503
136,LH,624,0.1,l1,0.9409604788221732
137,LH,312,0.5,l1,0.945893708459798
138,LH,416,0.5,l1,0.9491826801329845
139,LH,208,0.5,l1,1.1236834719253064
140,LH,312,0.1,l1,1.3283377061089523
141,LH,208,0.1,l1,1.5154101594598373
142,LH,104,0.1,l1,1.8047270379799574
143,LH,52,0.1,l1,1.9500377108475004
